"Time","Type","Date","Owner.operator","Registration","MSN","Year.of.manufacture","Engine.model","Fatalities","Other.fatalities","Aircraft.damage","Category","Location","Phase","Nature","Departure.airport","Destination.airport","Investigating.agency","Confidence.Rating","Narrative","detail_link"
"17:35","    Cessna 525 CitationJet","Saturday 4 January 2003","JS TÃ¡xi AÃ©reo","PT-XJS","525-0239","1998Total airframe hrs:1321 hours","Williams International FJ44-1A","0 / Occupants: 4","0","Substantial, repaired","Accident","SÃ£o Paulo-Congonhas Airport, SP (CGH) -   Brazil","Landing","Executive","Morrinhos Airport, GO (SWMX)","SÃ£o Paulo-Congonhas Airport, SP (CGH/SBSP)"," CENIPA","Accident investigation report completed and information captured","During the landing run on a wet runway 35L at Congonhas Airport, the aircraft aquaplaned. The pilot decided to veer to the runway intersection. Unable to decelerate, the aircraft ran down a  5 meter embankment and went through a fence. It hit a barbecue stand, destroying it and slightly injuring the vendor. The aircraft suffered serious damage to its wings. Contributing factors a. Human Factor (1) Physiological - Did not contribute. (2) Psychological - Contributed By the presence, as a contributing factor, of the perceptive aspects, the decision making and the overconfidence of the crew; and as suspected aspects, the complacency and attention. b. Material Factor Did not contribute. c. Operational Factor (1) Adverse Weather Conditions - Contributed The rain that fell over Congonhas, moments before the accident, contributed to the occurrence of aquaplaning due to the high speed of the aircraft, culminating with the loss of control on the ground. (2) Poor Cabin Coordination - Contributed The lack of assertiveness of the co-pilot in not commanding the flight or taking commands when checking that the aircraft was outside the appropriate parameters for landing in the existing conditions. (3) Weak Judgment - Contributed For not performing a go around as a solution to the mistakes and failures committed during the approach, among which we can mention the excessively high descent gradient, the excessive speed, the non perception of hydroplaning and the cutting of the right engine. (4) Deficient Planning - Contributed Even informed that the runway was wet, the crew members did not outline any reaction in order to replan the procedures to be followed, adapting them to the new landing conditions, especially with regard to possible aquaplaning. (5) Little experience in the aircraft - contributed The pilot's limited experience in the aircraft influenced the mistakes made on the final approach and landing. (6) Poor Oversight - Contrived The company allowed a pilot without an employment relationship and without an adequate adaptation to the aircraft to exercise the function of pilot, which influenced the errors made during landingAccident investigation:   Investigating agency: CENIPA Report number: RF075/CENIPA/2005 Status: Investigation completedDuration: Download report:  Final report Sources: Departamento de AviaÃ§Ã£o Civil (DAC)   Location  Revision history:Date/timeContributorUpdates The Aviation Safety Network is an exclusive service provided by: Quick Links: ASN Home Send Correction / FeedbackFSF Home DisclaimerCopyright Contact Us Privacy PolicyPress / Media CONNECT WITH US: ©2025 Flight Safety Foundation 1920 Ballenger Av, 4th Fl. Alexandria, Virginia 22314www.FlightSafety.org window.NREUM||(NREUM={});NREUM.info={""beacon"":""bam.nr-data.net"",""licenseKey"":""NRJS-b28a197507ed0552825"",""applicationID"":""582319234"",""transactionName"":""YwdaMkUCWRZSBhJfXVpNbRReTEAMWAwEV0FRTU8PXAoZFVsV"",""queueTime"":0,""applicationTime"":53,""atts"":""T0BZRA0YShg="",""errorBeacon"":""bam.nr-data.net"",""agent"":""""}ï»¿","https://aviation-safety.net/database/record.php?id=20030104-0"
"12:48","    Embraer EMB-145LR (ERJ-145LR)","Monday 6 January 2003","Continental Express, opb ExpressJet Airlines","N16571","145633","2002Total airframe hrs:845 hours","Rolls-Royce 3007-AIP","0 / Occupants: 50","0","Substantial, repaired","Accident","Cleveland-Hopkins International Airport, OH (CLE) -   United States of America","Landing","Passenger - Scheduled","Windsor Locks-Bradley International Airport, CT (BDL/KBDL)","Cleveland-Hopkins International Airport, OH (CLE/KCLE)"," NTSB","Accident investigation report completed and information captured","An ILS runway 06L approach was performed. After touchdown, the flight crew was unable to stop the airplane on the runway. The airplane continued beyond the departure end, on extended runway centerline, and struck the ILS runway 06L localizer antenna. It came to rest with the nose about 600 feet beyond the departure end of the runway. The nose landing gear had collapsed rearward and deformed the forward pressure bulkhead. PROBABLE CAUSE: ""The captain's failure to attain a proper touchdown on runway, and his subsequent failure to perform a go-around, both of which resulted in a runway overrun. Factors were the company's inadequate dispatch procedures with their failure to provide all NOTAMS for the airport to the flight crew, and the snow covered runway.""Accident investigation:   Investigating agency: NTSB Report number: NYC03FA035 Status: Investigation completedDuration: 1 year and 4 monthsDownload report:  Final report Sources: NTSB   Location  Revision history:Date/timeContributorUpdates The Aviation Safety Network is an exclusive service provided by: Quick Links: ASN Home Send Correction / FeedbackFSF Home DisclaimerCopyright Contact Us Privacy PolicyPress / Media CONNECT WITH US: ©2025 Flight Safety Foundation 1920 Ballenger Av, 4th Fl. Alexandria, Virginia 22314www.FlightSafety.org window.NREUM||(NREUM={});NREUM.info={""beacon"":""bam.nr-data.net"",""licenseKey"":""NRJS-b28a197507ed0552825"",""applicationID"":""582319234"",""transactionName"":""YwdaMkUCWRZSBhJfXVpNbRReTEAMWAwEV0FRTU8PXAoZFVsV"",""queueTime"":0,""applicationTime"":3,""atts"":""T0BZRA0YShg="",""errorBeacon"":""bam.nr-data.net"",""agent"":""""}ï»¿","https://aviation-safety.net/database/record.php?id=20030106-0"
"18:24","    Raytheon 390 Premier I","Tuesday 7 January 2003","Caribbean Aviation","N390RB","RB-26","2001","Williams International FJ44-2A","0 / Occupants: 4","0","Destroyed, written off","Accident","Santo Domingo-Herrera Airport (HEX) -   Dominican Republic","Landing","Unknown","Santo Domingo-Las AmÃ©ricas JosÃ© Francisco PeÃ±a GÃ³mez Int'l Airport (SDQ/MDSD)","Santo Domingo-Herrera International Airport (HEX/MDHE)",NA,"Information verified through data from accident investigation authorities","The pilot carried out a normal approach and landing on runway 19 at Herrera International Airport. Once on the ground the crew activated lift dump spoilers, but the system failed. They were unable to stop the airplane on the remaining runway. The airplane came to a stop, inverted beyond a street, calle San AntÃ³n, that is at the end of the runway and struck two vehicles on the calle San AntÃ³n.Sources: ListÃ­n Diario  NTSB   Location  Revision history:Date/timeContributorUpdates The Aviation Safety Network is an exclusive service provided by: Quick Links: ASN Home Send Correction / FeedbackFSF Home DisclaimerCopyright Contact Us Privacy PolicyPress / Media CONNECT WITH US: ©2025 Flight Safety Foundation 1920 Ballenger Av, 4th Fl. Alexandria, Virginia 22314www.FlightSafety.org window.NREUM||(NREUM={});NREUM.info={""beacon"":""bam.nr-data.net"",""licenseKey"":""NRJS-b28a197507ed0552825"",""applicationID"":""582319234"",""transactionName"":""YwdaMkUCWRZSBhJfXVpNbRReTEAMWAwEV0FRTU8PXAoZFVsV"",""queueTime"":0,""applicationTime"":1,""atts"":""T0BZRA0YShg="",""errorBeacon"":""bam.nr-data.net"",""agent"":""""}ï»¿","https://aviation-safety.net/database/record.php?id=20030107-0"
"18:15","    de Havilland Canada DHC-8-401Q Dash 8","Wednesday 8 January 2003","Horizon Air","N409QX","4051","2001Total airframe hrs:2760 hours","Pratt & Whitney PW 150-A","0 / Occupants: 32","0","Substantial, repaired","Accident","near Medford, OR -   United States of America","Approach","Passenger - Scheduled","Seattle/Tacoma International Airport, WA (SEA/KSEA)","Medford-Rogue Valley International, OR (MFR/KMFR)"," NTSB","Accident investigation report completed and information captured","According to the flight crew, who were approaching Medford on a clear dark night, while the aircraft was descending on an extended right downwind for runway 32, seven or eight large birds suddenly appeared in front of the aircraft. Before the flight crew could take any action, several of the birds impacted the nose of the aircraft and its windshield. The force of the impact shattered the inner-most pane of the windshield on the captainÂs side of the aircraft, and numerous small chunks of the glass hit the captain in the face and chest. The captain, who was cut by the glass in several places, turned control of the aircraft over to the first officer, who executed a successful landing at Medford about five minutes after the encounter. It was later determined that, in addition to the damage to the windshield, birds had penetrated the composite nose cone as well as the stressed metal skin immediately in front of the windshield. PROBABLE CAUSE: ""The fracture and spalling of the inner-most pane of the aircraft's port side windshield while on a downwind for a night visual approach due to an imposed load beyond that required for windshield certification (multiple bird strikes). Factors include a dark night, and a flock of ducks (Lesser Scaups) flying in the location of the visual traffic pattern.""Accident investigation:   Investigating agency: NTSB Report number: SEA03FA024 Status: Investigation completedDuration: 1 year and 11 monthsDownload report:  Final report Sources: NTSB  Revision history:Date/timeContributorUpdates The Aviation Safety Network is an exclusive service provided by: Quick Links: ASN Home Send Correction / FeedbackFSF Home DisclaimerCopyright Contact Us Privacy PolicyPress / Media CONNECT WITH US: ©2025 Flight Safety Foundation 1920 Ballenger Av, 4th Fl. Alexandria, Virginia 22314www.FlightSafety.org window.NREUM||(NREUM={});NREUM.info={""beacon"":""bam.nr-data.net"",""licenseKey"":""NRJS-b28a197507ed0552825"",""applicationID"":""582319234"",""transactionName"":""YwdaMkUCWRZSBhJfXVpNbRReTEAMWAwEV0FRTU8PXAoZFVsV"",""queueTime"":0,""applicationTime"":8,""atts"":""T0BZRA0YShg="",""errorBeacon"":""bam.nr-data.net"",""agent"":""""}ï»¿","https://aviation-safety.net/database/record.php?id=20030108-2"
"18:43","    Avro RJ100","Wednesday 8 January 2003","THY Turkish Airlines","TC-THG","E3241","1994Total airframe hrs:19289 hoursCycles:16659 flights","Lycoming LF507-1F","75 / Occupants: 80","0","Destroyed, written off","Accident","0,9 km S of Diyarbakir Airport (DIY) -   Türkiye","Approach","Passenger - Scheduled","Istanbul-AtatÃ¼rk International Airport (IST/LTBA)","Diyarbakir Airport (DIY/LTCC)",NA,"Accident investigation report completed and information captured","THY Turkish Airlines flight 634, an Avro RJ100 named 'Konya', crashed while on a VOR/DME approach to runway 34 at Diyarbakir Airport (DIY) in limited visibility conditions due to fog. The aircraft broke up after impacting the ground some 900 m short of the runway.  Diyarbakir's runway 34 was not equipped with ILS. CONCLUSION 1. The Flight Crew insisted on landing despite reaching the MDA at an altitude of 2800 ft and no approach lights or runway was visible. 2. Bad weather conditions contributed to the cause of the accident.METAR: 16:50 UTC /  local time: LTCC 081650Z 32003KT 5000 BR FEW040 SCT100 05/03 Q1021 NOSIG=17:50 UTC /  local time: LTCC 081750Z 00000KT 3500 R34/3500D BR FEW040 SCT100 05/03 Q1021 NOSIG=Accident investigation:   Report number: 2003/1 Status: Investigation completedDuration: 2 years and 2 monthsDownload report:  Final report Sources: ICAO Adrep   Location  Images: photo (c) AeroTransport Data Bank photo (c) via Werner Fischdick photo (c) Miklos SZABO; Budapest-Ferihegy Airport (BUD/LHBP); 19 November 1998 Revision history:Date/timeContributorUpdates The Aviation Safety Network is an exclusive service provided by: Quick Links: ASN Home Send Correction / FeedbackFSF Home DisclaimerCopyright Contact Us Privacy PolicyPress / Media CONNECT WITH US: ©2025 Flight Safety Foundation 1920 Ballenger Av, 4th Fl. Alexandria, Virginia 22314www.FlightSafety.org window.NREUM||(NREUM={});NREUM.info={""beacon"":""bam.nr-data.net"",""licenseKey"":""NRJS-b28a197507ed0552825"",""applicationID"":""582319234"",""transactionName"":""YwdaMkUCWRZSBhJfXVpNbRReTEAMWAwEV0FRTU8PXAoZFVsV"",""queueTime"":0,""applicationTime"":1,""atts"":""T0BZRA0YShg="",""errorBeacon"":""bam.nr-data.net"",""agent"":""""}ï»¿","https://aviation-safety.net/database/record.php?id=20030108-1"
"08:49","    Beechcraft 1900D","Wednesday 8 January 2003","US Airways Express, opb Air Midwest","N233YV","UE-233","1996Total airframe hrs:15003 hoursCycles:21332 flights","Pratt & Whitney Canada PT6A-67D","21 / Occupants: 21","0","Destroyed, written off","Accident","Charlotte-Douglas International Airport, NC (CLT) -   United States of America","Take off","Passenger - Scheduled","Charlotte-Douglas International Airport, NC (CLT/KCLT)","Greenville-Spartanburg Airport, SC (GSP/KGSP)"," NTSB","Accident investigation report completed and information captured","Air Midwest flight 5481, a Beechcraft 1900D, crashed shortly after takeoff from runway 18R at Charlotte-Douglas International Airport (CLT, North Carolina, USA. The 21 occupants aboard the airplane were killed. The accident airplane had undergone a detail six (D6) maintenance check between the night of January 6 and the morning of January 7, 2003. During this check the elevator cable tension was adjusted. In the process the elevator control system was incorrectly rigged, restricted the airplaneÂs elevator travel to 7Âº airplane nose down, or about one-half of the normal downward travel. This error was not detected prior to release to service. The airplane returned to service on the morning of January 7 and flew a total of nine flight legs before the accident flight. At 08:37 the aircraft was ready for taxi for a flight to Greenville-Spartanburg Airport, South Carolina, USA. At 08:46 the flight was cleared for takeoff from runway 18R. One minute later, immediately after the landing gear had been retracted, the nose pitched up to 20Â°. Both crew members reacted with surprise and the captain asked the first officer to help him. Both flight crew then attempted forcefully push the nose down. The nose continued to pitch up to 54Â° and the stall warning horn sounded. The aircraft's nose dropped and it rolled 127Â° to the left. The airplaneÂs roll attitude then stabilized at about 20Âº left wing down; the pitch attitude began to increase. About 08:47:24 the airplane rolled right through wings level, and the pitch attitude increased to about -5Âº. The nose dropped again and the airplane struck a US Airways maintenance hangar and came to rest about 1650 feet east of the runway 18R centerline and about 7600 feet beyond the runway 18R threshold.  It appeared that, aside from the limit nose down elevator travel, the aircraft had an excessive aft center of gravity due to substantially inaccurate weight and balance calculations. PROBABLE CAUSE: ""The airplaneÂs loss of pitch control during takeoff.  The loss of pitch control resulted from the incorrect rigging of the elevator control system compounded by the airplaneÂs aft center of gravity, which was substantially aft of the certified aft limit. Contributing to the cause of the accident was: (1) Air MidwestÂs lack of oversight of the work being performed at the Huntington, West Virginia, maintenance station; (2) Air MidwestÂs maintenance procedures and documentation; (3) Air MidwestÂs weight and balance program at the time of the accident; (4) the Raytheon Aerospace quality assurance inspectorÂs failure to detect the incorrect rigging of the elevator system; (5) the FAAÂs average weight assumptions in its weight and balance program guidance at the time of the accident; and (6) the FAAÂs lack of oversight of Air MidwestÂs maintenance program and its weight and balance program.""METAR: 12:51 UTC / 07:51 local time: KCLT 081251Z 22006KT 10SM SCT140 BKN250 03/M07 A2975 RMK AO2 SLP075 T00331072=13:51 UTC / 08:51 local time: KCLT 081351Z 23007KT 10SM SCT140 BKN250 04/M06 A2976 RMK AO2 SLP079 T00391061=14:51 UTC / 09:51 local time: KCLT 081451Z 24008KT 210V290 10SM FEW140 BKN250 07/M04 A2977 RMK AO2 SLP083 T00671044 53008=Accident investigation:   Investigating agency: NTSB Report number: NTSB/AAR-04-01 Status: Investigation completedDuration: 1 year 1 monthDownload report:  Final report Sources: SKYbraryÂ   NTSB  ALPA Submission to the NTSB on Air Midwest Flight 5481 History of this aircraft Other occurrences involving this aircraft ï»¿  29 November 1997 C-FYSJ Ministic Air Island Lake, Manitoba Location  Images: photo (c) Lookout2; Charlotte-Douglas International Airport, NC (CLT); 08 January 2003; (CC:by-sa) photo (c) NTSB; Charlotte-Douglas International Airport, NC (CLT); January 2003 photo (c) Aviation Safety Network photo (c) Andrew Thon; Charlotte-Douglas International Airport, NC (CLT/KCLT); 2012 Revision history:Date/timeContributorUpdates The Aviation Safety Network is an exclusive service provided by: Quick Links: ASN Home Send Correction / FeedbackFSF Home DisclaimerCopyright Contact Us Privacy PolicyPress / Media CONNECT WITH US: ©2025 Flight Safety Foundation 1920 Ballenger Av, 4th Fl. Alexandria, Virginia 22314www.FlightSafety.org window.NREUM||(NREUM={});NREUM.info={""beacon"":""bam.nr-data.net"",""licenseKey"":""NRJS-b28a197507ed0552825"",""applicationID"":""582319234"",""transactionName"":""YwdaMkUCWRZSBhJfXVpNbRReTEAMWAwEV0FRTU8PXAoZFVsV"",""queueTime"":0,""applicationTime"":3,""atts"":""T0BZRA0YShg="",""errorBeacon"":""bam.nr-data.net"",""agent"":""""}ï»¿","https://aviation-safety.net/database/record.php?id=20030108-0"
"","    Fokker F-28 Fellowship 4000","Thursday 9 January 2003","Pelita Air Service","PK-PJK","11192","1982",NA,"0 / Occupants: 55","0","Minor, repaired","Accident","Gorontalo-Jalaluddin Airport (GTO) -   Indonesia","Taxi","Passenger - Scheduled","","Gorontalo-Jalaluddin Airport (GTO/WAMG)",NA,"Information verified through data from accident investigation authorities","The aircraft was landing at Gorontalo-Jalaluddin Airport (GTO) runway 27 and taxied towards the apron via taxiway Bravo. While entering Bravo, there was an APU fire warning. The pilot took action by operating the fire control guard to extinguish the fire and proceeded to shut down the APU. The aircraft stopped at the normal position and passengers disembarked normally.Sources: Indonesian Aircraft Accident/Incident Database 1988-2001  Images: photo (c) Frank Ellemers Collection; Amsterdam-Schiphol International Airport (AMS/EHAM); 20 February 1983 Revision history:Date/timeContributorUpdates The Aviation Safety Network is an exclusive service provided by: Quick Links: ASN Home Send Correction / FeedbackFSF Home DisclaimerCopyright Contact Us Privacy PolicyPress / Media CONNECT WITH US: ©2025 Flight Safety Foundation 1920 Ballenger Av, 4th Fl. Alexandria, Virginia 22314www.FlightSafety.org window.NREUM||(NREUM={});NREUM.info={""beacon"":""bam.nr-data.net"",""licenseKey"":""NRJS-b28a197507ed0552825"",""applicationID"":""582319234"",""transactionName"":""YwdaMkUCWRZSBhJfXVpNbRReTEAMWAwEV0FRTU8PXAoZFVsV"",""queueTime"":0,""applicationTime"":62,""atts"":""T0BZRA0YShg="",""errorBeacon"":""bam.nr-data.net"",""agent"":""""}ï»¿","https://aviation-safety.net/database/record.php?id=20030109-2"
"22:30","    de Havilland Canada DHC-3T Vazar Turbine Otter","Thursday 9 January 2003","Harbour Air","C-FITF","89","1955","Pratt & Whitney Canada PT6A-34","0 / Occupants: 2","0","Substantial, repaired","Accident","Eden Lake, BC -   Canada","Landing","Passenger - Non-Scheduled/charter/Air Taxi","","Eden Lake, BC",NA,"Information verified through data from accident investigation authorities","The pilot was landing on Eden Lake in glassy water conditions. During the landing sequence the left float structure collapsed and separated. The other float folded up. The aircraft settled into the water right side up and both the pilot and passenger were able to evacuate the aircraft uninjured, and were picked up by a boat. The aircraft rolled over but stayed afloat and was dragged to the shore where it will be disassembled and shipped to Vancouver for repairs.Sources: CADORS Number: 2003P0038  Revision history:Date/timeContributorUpdates The Aviation Safety Network is an exclusive service provided by: Quick Links: ASN Home Send Correction / FeedbackFSF Home DisclaimerCopyright Contact Us Privacy PolicyPress / Media CONNECT WITH US: ©2025 Flight Safety Foundation 1920 Ballenger Av, 4th Fl. Alexandria, Virginia 22314www.FlightSafety.org window.NREUM||(NREUM={});NREUM.info={""beacon"":""bam.nr-data.net"",""licenseKey"":""NRJS-b28a197507ed0552825"",""applicationID"":""582319234"",""transactionName"":""YwdaMkUCWRZSBhJfXVpNbRReTEAMWAwEV0FRTU8PXAoZFVsV"",""queueTime"":0,""applicationTime"":8,""atts"":""T0BZRA0YShg="",""errorBeacon"":""bam.nr-data.net"",""agent"":""""}ï»¿","https://aviation-safety.net/database/record.php?id=20030109-1"
"08:45","    Fokker F-28 Fellowship 1000","Thursday 9 January 2003","Transportes AÃ©reos Nacionales de la Selva - TANS","OB-1396","11100","1975","Rolls-Royce Spey 555-15","46 / Occupants: 46","0","Destroyed, written off","Accident","near Chachapoyas -   Peru","Approach","Passenger - Scheduled","Chiclayo-Capitan FAP Jose Abelardo QuiÃ±ones Airport (CIX/SPHI)","Chachapoyas Airport (CHH/SPPY)"," CIAA","Accident investigation report completed and information captured","TANS Flight 222 departed Lima for a scheduled flight to Chachapoyas with an intermediate stop at Chiclayo. It departed Chiclayo at 08:17 and climbed to its assigned cruising altitude of FL190, which was reached approx. ten minutes after takeoff. The F-28 followed the V-3 airway, heading 075deg until 08:32. The crew then turned to the left heading 060deg, maintaining FL190 until 08:36. The flight then descended to FL130. After reaching that altitude five minutes later, the crew extended the speedbrakes in order to decelerate from 280 knots to 210 knots. Fifty seconds later, with the speedbrakes still extended, the crew turned to a heading of 135deg, aligning the plane with Chachapoyas' runway 13. The turn was accomplished in 45 seconds with a 30deg bank angle course change in 45 seconds. Shortly afterwards the Fellowship struck Cerro Coloque at an altitude of 10350 feet. Rescue workers found the wreckage two days after the crash. Until 1995 this F-28 was used as the Peruvian Presidential plane. PROBABLE ROOT CAUSES: 1.- PROBABLE MAIN CAUSE. The probable cause of the accident of the aircraft Fokker F-28, MK1000, OB-1396 of the company TANS-PERU, is the Impact Into Terrain without Loss of Control - CFIT (Controlled Flight Into Terrain) caused by complacency (overconfidence) and lack of effective communication between the technical crew, which leads to the total loss of situational awareness. 2.- PROBABLE SECONDARY CAUSES 2.1 Lack of compliance with Standard Operating Procedures. The CVR transcript shows that the Technical Crew was not alert, nor did they make any operational indication such as breafing or check list about the descent to the Chachapoyas airfield. 2.2 Lack of Crew Resource Management (CRM) There is no formal operational communication, in the CVR hearing there is a lot of informality and many comments out of place for a professional technical operation. 2.3 Loss of Situational Awareness. From the CVR hearing it can be extracted that the crew due to complacency (overconfidence) did not comply with the rules and procedures established for the operation of this route and airport. The alertness of the Technical Crew was not adequate for the operation phase. 3.- CONTRIBUTING FACTORS 3.1 Death of the Co-Pilot's father, 4 days before the date of the flight, could contribute as a stress, fatigue and depression agent, which could influence his professional performance. 3.2 The delay in the crew's payments and/or bonuses could have caused a stressful situation, which in the short, medium or long term contributes to fatigue, thus decreasing professional performance, which would affect flight safety. 3.3 Organizational system and operational environment. The constant changes of management personnel cause labor instability within the company, a situation that could be an agent of stress that affects human performance in any field. 4.- CONTRIBUTING HUMAN ERRORS The following Human Errors were observed in the analysis of the performance of this flight: 1) Poor judgment 2) Poor planning 3) Inadequate monitoring 4) Poor visual perspective 5) Poor visual perception 6) Operational complacency 7) Omitted procedures 8) Disorientation due to loss of situational awarenessMETAR: 13:00 UTC / 08:00 local time: SPPY 091300Z VRB02KT 9999 BKN015 SCT100 13/12 Q1028 PP000 TMN:12.5=14:00 UTC / 09:00 local time: SPPY 091400Z VRB03KT 9999 BKN018 SCT100 15/12 Q1028 PP000=Accident investigation:   Investigating agency: CIAA Report number: CIAA-ACCID-001-2003 Status: Investigation completedDuration: 2 monthsDownload report:  Final report Sources:  Location  Images: photo (c) via W. Fischdick; Miami International Airport, FL (MIA); August 1991 Revision history:Date/timeContributorUpdates The Aviation Safety Network is an exclusive service provided by: Quick Links: ASN Home Send Correction / FeedbackFSF Home DisclaimerCopyright Contact Us Privacy PolicyPress / Media CONNECT WITH US: ©2025 Flight Safety Foundation 1920 Ballenger Av, 4th Fl. Alexandria, Virginia 22314www.FlightSafety.org window.NREUM||(NREUM={});NREUM.info={""beacon"":""bam.nr-data.net"",""licenseKey"":""NRJS-b28a197507ed0552825"",""applicationID"":""582319234"",""transactionName"":""YwdaMkUCWRZSBhJfXVpNbRReTEAMWAwEV0FRTU8PXAoZFVsV"",""queueTime"":0,""applicationTime"":8,""atts"":""T0BZRA0YShg="",""errorBeacon"":""bam.nr-data.net"",""agent"":""""}ï»¿","https://aviation-safety.net/database/record.php?id=20030109-0"
"13:00","    Britten-Norman BN-2A-26 Islander","Tuesday 14 January 2003","Siam Air Sports","HS-RON","156","1970",NA,"0 / Occupants: 7","0","Destroyed, written off","Accident","1,5 km from Pattaya Airport (PYX) -   Thailand","En route","Parachuting","Pattaya Airport (PYX/YTBF)","Pattaya Airport (PYX/YTBF)",NA,NA,"The pilot took off with full flaps, and lost control of the plane at 200-300 feet. The airplane stalled and crash-landed in a cassava field.Sources: Jim McConnell (eyewitness), by E-mail 10-1-2011  BAAA-ACRO  Pattaya Mail  Thomas BrÃ¼gge  Images: photo (c) J.A.McConnell; nr Pattaya Airport (PYX); 14 January 2003 Revision history:Date/timeContributorUpdates The Aviation Safety Network is an exclusive service provided by: Quick Links: ASN Home Send Correction / FeedbackFSF Home DisclaimerCopyright Contact Us Privacy PolicyPress / Media CONNECT WITH US: ©2025 Flight Safety Foundation 1920 Ballenger Av, 4th Fl. Alexandria, Virginia 22314www.FlightSafety.org window.NREUM||(NREUM={});NREUM.info={""beacon"":""bam.nr-data.net"",""licenseKey"":""NRJS-b28a197507ed0552825"",""applicationID"":""582319234"",""transactionName"":""YwdaMkUCWRZSBhJfXVpNbRReTEAMWAwEV0FRTU8PXAoZFVsV"",""queueTime"":0,""applicationTime"":1,""atts"":""T0BZRA0YShg="",""errorBeacon"":""bam.nr-data.net"",""agent"":""""}ï»¿","https://aviation-safety.net/database/record.php?id=20030114-1"
