"date","type","registration","operator","fatalities","location","damage"
"2 Jan 2024","Airbus A350-941","JA13XJ","Japan Airlines","0+5","Tokyo International Airport/Haneda (HND/RJTT)","w/o"
"2 Jan 2024","de Havilland Canada DHC-8-315Q MPA","JA722A","Japan Coast Guard","5","Tokyo-Haneda Airport (HND/RJTT)","w/o"
"2 Jan 2024","Learjet 35A","N46MF","Med Flight Air Ambulance","0","San Marcos Regional Airport (HYI/KHYI), San Marcos, TX","sub"
"5 Jan 2024","Boeing 737 MAX 9","N704AL","Alaska Airlines","0","Portland, OR","sub"
"5 Jan 2024","Boeing 737-8Q8 (WL)","LV-KJE","Flybondi","0","Mar del Plata-Astor Piazzolla International Airport, BA (MDQ/SAZM)","sub"
"8 Jan 2024","Cessna 208B Grand Caravan","VH-NWJ","Townsville Airlines Pty Ltd","0","Lizard Island Airport (YLZI), Lizard Island, QLD","sub"
"10 Jan 2024","Boeing 737-924ER (WL)","N62883","United Airlines","0","Houston-George Bush Intercontinental Airport (IAH/KIAH), Houston, TX","sub"
"11 Jan 2024","Learjet 55","N558RA","Royal Air Freight","0","Mission Field Airport (LVM/KLVM), Livingston, MT","sub"
"14 Jan 2024","Ilyushin Il-22M-11RT","RF-95678","Russian Air Force","1","near Anapa","sub"
"17 Jan 2024","Airbus A320-214","D-AICP","Condor","0","MÃ¼nchen-Franz Josef Strauss Airport (MUC/EDDM)","non"
"18 Jan 2024","Fokker 50","5Y-JWG","Jetways Airlines","1","Ceelbarde Airstrip","w/o"
"18 Jan 2024","Bombardier DHC-8-402Q Dash 8","ET-AVS","Ethiopian Airlines","0","Mekele Airport (MQX/HAMK)","sub"
"20 Jan 2024","Dassault Falcon 10","RA-09011","Athletic Group LLC","2","Topkana area, Kuran wa Munjan District, Badakkhshan province","w/o"
"20 Jan 2024","Cessna 208B Grand Caravan","5Y-SPZ","IMI","0","Kasese Airport","sub"
"21 Jan 2024","Cirrus SF50 Vision Jet G2+","PS-DAO","RBL Guindastes e Transportes Especiais Ltda","0","Angra dos Reis Airport (SDAG), Angra dos Reis, RJ","sub"
"21 Jan 2024","Airbus A350-941","F-HTYH","Air France","0","TorontoâLester B. Pearson International Airport, Ontario (YYZ)","min"
"23 Jan 2024","BAe 3212 Jetstream 32","C-FNAA","Northwestern Air","6","near Fort Smith Airport, NT (YSM/CYSM)","w/o"
"25 Jan 2024","Cessna 208 Caravan I","VH-ZWH","Sydney Seaplanes","0","Sydney Harbour, near Rose Bay Water Airport (RSE/YRAY), NSW","sub"
"26 Jan 2024","Beechcraft C99 Commuter","N53RP","Ameriflight, opf Wiggins Airways","0","Londonderry, NH","w/o"
"28 Jan 2024","Honda HA-420 HondaJet","N103JT","Frayer Jets 7 LLC, opb GC Aviation","0","Orlando International Airport (MCO/KMCO), Orlando, FL","sub"
"1 Feb 2024","Boeing 787-9 Dreamliner","JA899A","All Nippon Airways - ANA","0","100 km SSE of Chubu Centrair Internationl Airport (NGO/RJGG)","non"
"7 Feb 2024","Hawker 900XP","N900VA","Clay Lacy Aviation opb Vici Aviation LLC","2","near Westwater, UT","w/o"
"8 Feb 2024","Airbus A321-271NX","N2157J","JetBlue Airways","0","Boston-Logan International Airport (BOS/KBOS), Boston, MA","min"
"8 Feb 2024","Airbus A321-231 (WL)","N956JT","Jetblue Airways","0","Boston-Logan International Airport (BOS/KBOS), Boston, MA","sub"
"9 Feb 2024","McDonnell Douglas MD-82","5Y-AXL","African Express Airways","0","Malakal Airport (MAK)","sub"
"9 Feb 2024","Bombardier CL-600-2B16 Challenger 604","N823KD","Ace Aviation Services dba Hop-A-Jet","2","near Naples Airport (APF/KAPF), Naples, FL","w/o"
"9 Feb 2024","Airbus A300F4-622R","D-AZMO","European Air Transport, opf DHL","0","Leipzig Airport (LEJ/EDDP)","sub"
"10 Feb 2024","Boeing 777-222ER","N788UA","United Airlines","0","near Kelsey, NY","non"
"11 Feb 2024","Cessna 208B Grand Caravan","N80GE","Skydive Puerto Escondido","0+1","Puerto Escondido","sub"
"12 Feb 2024","Britten-Norman BN-2A-21 Islander","HC-CXK","ESAV Airlines","0","ca 1 km N off San CristÃ³bal Airport (SCY), Galapagos Islands","w/o"
"14 Feb 2024","Hawker Beechcraft 400XP","N95GK","PDII LLC","0","Bentonville Municipal-Louise M Thaden Field, AR (KVBT)","sub"
"18 Feb 2024","Embraer ERJ-195LR","OY-GDC","Marathon Airlines, opf Air Serbia","0","Beograd-Nikola Tesla Airport (BEG/LYBE)","sub"
"18 Feb 2024","Boeing 767-332ER (WL)","N176DZ","Delta Air Lines","0","TMA Bogota, Sector North","non"
"23 Feb 2024","Cessna 208 Caravan","N85WL","Willis Lease Finance Corporation","0","Miami, FL","sub"
"25 Feb 2024","Boeing 757-224 (WL)","N13138","United Airlines","0","San Francisco International Airport, CA (SFO/KSFO)","sub"
"28 Feb 2024","Cessna 208 Caravan I","PT-PBC","Secretaria da SeguranÃ§a PÃºblica e Defesa Social ParÃ¡","0","Alenquer-Fazenda TambaÃº, PA (SD8G)","sub"
"3 Mar 2024","Fairchild SA227-AT Expediter","N563TR","Kolob Canyons Air Services","0","Smyrna Airport (MQY/KMQY), Liberty, TN","sub"
"5 Mar 2024","de Havilland Canada DHC-8-315Q","5Y-SLK","Safarilink Aviation","0+2","near Nairobi-Wilson Airport (HKNW)","min"
"5 Mar 2024","Cessna 208B Grand Caravan EX","9S-EBT","AB Airlines","1","Katchungu-Tchambogo Airstrip","w/o"
"6 Mar 2024","Cessna 208B Grand Caravan","PR-AAB","PolÃ­cia Federal Brasil","2","Belo Horizonte/Pampulha - Carlos Drummond de Andrade Airport, MG (PLU)","w/o"
"8 Mar 2024","Boeing 737 MAX 8","N27290","United Airlines","0","Houston-George Bush Intercontinental Airport, TX (IAH/KIAH)","sub"
"9 Mar 2024","Lockheed L-100-30 Hercules","5X-SBR","","0","Jowhar Airport (HCJH)","sub"
"9 Mar 2024","Boeing 737-7H4 (WL)","N411WN","Southwest Airlines","0","near Aylett, VA","non"
"10 Mar 2024","IAI 1125 Astra SP","N1125A","SkyJet Elite","5","near Ingalls Field Airport (KHSP), Hot Springs, VA","w/o"
"11 Mar 2024","Boeing 787-9 Dreamliner","CC-BGG","LATAM Airlines","0","over Tasman Sea","non"
"12 Mar 2024","Ilyushin Il-76MD","RF-76551","Russian Air Force","16","near Ivanovo Severny Air Base, Ivanovo Oblast","w/o"
"14 Mar 2024","Boeing 737-8H4 (WL)","N8520Q","Southwest Airlines","0","Como, TN","non"
"17 Mar 2024","Let L-410UVP","9S-GPB","Cetraca Aviation Service","0","Butembo Airport (FZBM)","sub"
"19 Mar 2024","Antonov An-26","AVIONS-401","South Sudanese Air Force","0","Yida Airstrip","w/o"
"20 Mar 2024","Boeing 787-9 Dreamliner","JA891A","All Nippon Airways - ANA","0","55 km S of Tokyo/Narita International Airport (NRT/RJAA)","sub"
